offset_x,offset_y,1972-10-18 00:00:00,1976-09-23 00:00:00,1977-09-01 00:00:00,1978-09-28 00:00:00,1979-10-03 00:00:00,1980-09-18 00:00:00,1981-09-16 00:00:00,1982-09-24 00:00:00,1983-09-02 00:00:00,1984-09-01 00:00:00,1984-09-05 00:00:00,1985-09-12 00:00:00,1987-09-03 00:00:00,1988-09-09 00:00:00,1989-09-21 00:00:00,1990-09-13 00:00:00,1991-09-19 00:00:00,1992-09-10 00:00:00,1993-09-09 00:00:00,1994-09-15 00:00:00,1995-09-21 00:00:00,1996-09-12 00:00:00,1997-09-18 00:00:00,1998-09-17 00:00:00,1999-09-16 00:00:00,2000-09-07 00:00:00,2001-09-11 00:00:00,2002-09-16 00:00:00,2003-09-15 00:00:00,2004-09-12 00:00:00,2005-09-20 00:00:00,2006-09-12 00:00:00,2007-09-18 00:00:00,2008-09-26 00:00:00,2009-09-22 00:00:00,2010-09-28 00:00:00,2011-09-28 00:00:00,2012-09-26 00:00:00,2013-09-24 00:00:00,2014-10-01 00:00:00,2015-09-24 00:00:00,2016-10-06 00:00:00,2017-10-09 00:00:00,2018-10-10 00:00:00,2019-10-08 00:00:00
1,0,48,58,64,52,63,58,50,55,58,53,45,55,44,49,49,44,45,45,48,45,47,42,42,38,42,43,39,43,53,33,41,51,50,48,47,44,42,41,45,47,49,49,46,48,45
3,0,57,47,46,49,54,50,40,43,44,39,37,48,35,38,40,30,29,36,45,34,43,26,29,42,25,28,46,39,55,25,38,41,39,53,37,41,39,45,44,49,50,56,49,53,47
5,0,51,35,45,44,38,38,37,41,40,35,40,39,32,45,44,41,36,33,39,40,35,34,40,36,27,43,40,35,40,36,36,48,46,53,48,43,42,47,49,41,49,64,48,58,66
7,0,47,33,44,41,43,45,43,40,45,40,40,43,37,44,42,38,37,37,34,36,42,34,38,40,37,70,37,40,46,35,38,45,51,49,51,42,45,47,47,49,51,57,48,52,53
9,0,40,34,45,36,36,35,37,44,43,27,40,38,27,48,46,35,35,30,40,39,41,33,33,32,33,55,38,35,43,27,31,40,46,42,40,38,40,39,42,52,52,56,52,53,50
11,0,38,35,46,49,51,55,58,62,52,50,60,60,56,64,52,45,49,49,54,53,55,46,50,54,48,57,55,55,62,44,48,59,66,61,67,57,57,56,62,62,66,68,63,65,59
13,0,37,36,50,43,53,58,53,61,61,51,62,60,50,64,58,52,54,52,56,55,63,43,53,59,42,46,57,56,63,49,53,67,62,65,65,58,53,55,61,61,61,68,64,66,60
15,0,45,32,52,53,56,55,46,54,50,60,61,71,52,68,62,60,55,60,54,58,54,33,49,55,54,60,54,61,65,48,51,64,66,61,68,60,63,62,61,65,68,74,66,74,63
17,0,48,23,46,34,41,38,40,46,44,40,48,44,41,48,44,38,34,40,38,34,46,31,29,33,40,47,47,45,44,42,35,50,53,55,49,47,50,48,47,57,59,60,51,54,50
19,0,38,-999,45,51,38,36,38,37,42,41,43,53,37,54,45,42,38,38,46,43,47,36,41,43,38,42,50,47,50,44,43,53,54,55,55,49,47,49,60,55,57,61,61,64,61
