offset_x,offset_y,1990-09-06 00:00:00,1991-09-12 00:00:00,1992-09-02 00:00:00,1994-09-07 00:00:00,1995-09-06 00:00:00,1996-09-04 00:00:00,1997-09-10 00:00:00,1998-09-03 00:00:00,1999-09-09 00:00:00,2000-09-13 00:00:00,2001-09-12 00:00:00,2002-08-30 00:00:00,2003-08-26 00:00:00,2004-09-15 00:00:00,2005-09-15 00:00:00,2006-09-11 00:00:00,2007-09-19 00:00:00,2008-09-24 00:00:00,2009-09-24 00:00:00,2010-09-27 00:00:00,2011-09-21 00:00:00,2012-09-26 00:00:00,2013-09-26 00:00:00,2014-09-25 00:00:00,2015-09-28 00:00:00,2016-09-22 00:00:00,2017-09-27 00:00:00,2018-10-04 00:00:00,2019-10-07 00:00:00
0,0,45,54,54,45,75,51,47,50,35,41,65,61,50,65,54,58,74,68,70,59,89,109,103,144,133,145,203,225,202
0,10,47,46,48,50,57,43,48,45,44,62,60,61,55,56,79,55,70,60,58,54,99,131,139,188,207,223,234,257,240
0,20,43,52,50,64,65,46,48,56,48,64,75,47,57,55,61,52,57,59,55,58,98,116,132,162,197,190,225,245,250
0,30,41,47,50,52,56,41,42,45,35,50,58,49,56,43,47,48,62,50,50,51,85,114,130,152,158,175,223,180,230
0,40,44,45,46,54,54,41,42,47,39,51,47,50,60,47,56,48,57,52,48,48,92,114,112,148,155
10,0,45,54,55,55,56,45,51,60,41,52,62,59,59,55,67,60,63,60,57,61,114,133,153,196,208,194,197,207,202
10,10,50,38,38,40,41,37,55,55,33,52,52,48,52,58,64,69,66,50,45,49,102,126,151,199,208,240,259,303,330
10,20,42,43,45,49,50,40,37,47,32,55,47,48,53,51,58,46,53,47,48,48,83,118,125,160,180,184,220,254,245
10,30,44,52,51,55,59,48,53,52,45,55,59,55,48,53,56,54,65,57,54,54,97,111,116,147,174,157,178,196,217
10,40,47,43,46,88,45,39,57,45,30,53,53,63,45,54,46,52,56,54,47,61,97,117,136,169,178
20,0,52,58,51,57,51,55,58,50,33,70,55,59,56,63,71,62,71,52,59,58,111,124,125,156,185,224,246,292,317
20,10,40,47,57,50,67,41,47,48,40,66,54,49,63,43,63,52,55,57,50,60,102,115,115,146,152,191,201,222,213
20,20,52,47,42,57,52,37,40,51,36,94,67,75,52,53,102,105,92,68,59,59,101,124,139,175,186,218,240,253,242
20,30,48,40,37,47,45,37,52,42,38,55,57,55,57,57,54,57,76,57,49,51,91,117,136,179,197,204,271,294,199
20,40,38,40,37,39,40,41,34,44,32,51,53,47,47,48,45,47,57,51,51,41,92,137,164,213,209
30,0,47,38,44,41,58,41,54,57,40,58,60,53,52,69,64,50,65,50,52,66,95,106,118,149,161,142,164,219,164
30,10,64,77,78,92,100,58,65,62,53,54,73,68,75,49,61,58,80,70,68,80,86,104,111,149,151,196,213,236,233
30,20,51,61,67,78,80,65,65,62,55,71,63,66,65,67,77,72,66,63,55,66,105,145,165,201,205,220,223,283,223
30,30,59,56,56,49,62,52,49,55,47,70,65,64,60,67,72,73,74,66,61,77,111,137,141,169,179,220,252,258,219
30,40,41,47,51,43,54,43,46,53,44,54,59,50,55,52,57,60,72,60,61,70,102,112,113,150,145
40,0,155,223,250,243
40,10,180,226,254,248
40,20,210,214,231,228
40,30,166,186,213,237
